"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:07:01    ","00:07:01    ","1","0","0","00:07:02    ","00:06:52    ","00:06:21    ","88","95","83","155","169","25","85"
"2","00:07:00    ","00:07:00    ","1","0","0","00:07:01    ","00:06:49    ","00:06:36    ","88","90","83","166","170","22","97"
"3","00:06:41    ","00:06:41    ","1","0","0","00:06:41    ","00:06:40    ","00:06:30    ","88","91","85","168","171","19","85"
"4","00:06:32    ","00:06:32    ","1","0","0","00:06:33    ","00:06:24    ","00:06:01    ","89","91","88","170","174","18","100"
"5","00:06:23    ","00:06:23    ","1","0","0","00:06:23    ","00:06:19    ","00:06:07    ","89","90","89","166","172","17","83"
"6","00:06:30    ","00:06:30    ","1","0","0","00:06:31    ","00:06:23    ","00:05:58    ","88","90","89","169","173","17","99"
"7","00:06:09    ","00:06:09    ","1","0","0","00:06:10    ","00:06:02    ","00:05:53    ","89","91","93","169","173","16","86"
"8","00:05:55    ","00:05:55    ","1","0","0","00:05:56    ","00:05:54    ","00:05:42    ","90","91","95","171","176","16","87"
"9","00:05:56    ","00:05:56    ","1","0","0","00:05:57    ","00:05:47    ","00:05:38    ","90","92","95","172","176","16","88"
"10","00:05:55    ","00:05:55    ","1","0","0","00:05:56    ","00:05:51    ","00:05:40    ","90","92","94","172","177","16","88"
"11","00:06:09    ","00:06:09    ","1","0","0","00:06:10    ","00:06:01    ","00:05:50    ","90","92","92","173","176","17","89"
"12","00:05:58    ","00:05:58    ","1","0","0","00:05:59    ","00:05:53    ","00:05:44    ","91","92","93","174","178","17","89"
"13","00:05:52    ","00:05:52    ","1","0","0","00:05:53    ","00:05:52    ","00:05:39    ","91","92","94","173","177","18","89"
"14","00:05:58    ","00:05:58    ","1","0","0","00:05:59    ","00:05:51    ","00:05:04    ","90","104","95","173","177","19","88"
"15","00:05:38    ","00:05:38    ","1","0","0","00:05:39    ","00:05:35    ","00:05:23    ","91","93","98","177","184","19","92"
"16","00:05:21    ","00:05:21    ","1","0","0","00:05:22    ","00:05:14    ","00:04:55    ","91","94","105","184","190","19","81"
"17","00:05:29    ","00:05:29    ","1","0","0","00:05:30    ","00:05:27    ","00:05:14    ","91","93","101","183","187","19","80"
"18","00:05:29    ","00:05:29    ","1","0","0","00:05:29    ","00:05:26    ","00:05:16    ","91","93","101","184","188","20","97"
"19","00:05:22    ","00:05:22    ","1","0","0","00:05:22    ","00:05:16    ","00:05:05    ","91","93","104","186","189","21","82"
"20","00:04:58    ","00:04:58    ","1","0","0","00:04:59    ","00:04:57    ","00:04:36    ","92","97","109","189","196","21","83"
"21","00:04:53    ","00:04:53    ","1","0","0","00:04:53    ","00:04:55    ","00:04:05    ","92","107","111","193","200","22","86"
"22","00:00:33    ","00:00:33    ","0.14","0","0","00:03:59    ","00:03:37    ","00:03:21    ","99","107","136","200","202","22","18"
"Summary","02:05:55    ","02:05:55    ","21.14","0","0","00:05:57    ","00:05:52    ","00:03:21    ","90","107","95","174","202","19","1872"
