身体情况,预算,足弓,类型,跑鞋类型
男≤60kg,≥1000元,正常,竞速,10
男＞60kg&＜80kg,≤500元,正常,日常,22
男≥80kg,≤500元,正常,日常,32
男＞60kg&＜80kg,≤500元,正常,日常,22
男＞60kg&＜80kg,≤500元,内翻,日常,32
男＞60kg&＜80kg,≤500元,外翻,日常,42
男≤60kg,≤500元,正常,竞速,12
男＞60kg&＜80kg,≤500元,正常,日常,22
男≥80kg,＞500元&＜1000元,正常,日常,31
男≥80kg,≥1000元,正常,日常,30
女≤48kg,≥1000元,正常,竞速,10
女＞48kg&＜68kg,≤500元,正常,日常,22
女≥68kg,≤500元,正常,日常,32
女＞48kg&＜68kg,≤500元,正常,日常,22
女＞48kg&＜68kg,≤500元,内翻,日常,32
女＞48kg&＜68kg,≤500元,外翻,支撑,42
女≤48kg,≤500元,正常,日常,22
女＞48kg&＜68kg,≤500元,正常,日常,22
女≥68kg,＞500元&＜1000元,正常,日常,31
女≥68kg,≥1000元,正常,日常,30
男＞60kg&＜80kg,＞500元&＜1000元,正常,日常,21
女＞48kg&＜68kg,＞500元&＜1000元,正常,日常,21
男≤60kg,≤500元,正常,竞速,12
男≤48kg,≤500元,正常,竞速,12
男≤60kg,＞500元&＜1000元,正常,竞速,11
男≤48kg,＞500元&＜1000元,正常,竞速,11
